PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
ES01;PARTY;30.18;PROVISIONAL;2024-06-14 11:01
ES02;PARTY;34.2;PROVISIONAL;2024-06-14 11:01
ES03;PARTY;4.65;PROVISIONAL;2024-06-14 11:01
ES04;PARTY;3.28;PROVISIONAL;2024-06-14 11:01
ES05;PARTY;9.62;PROVISIONAL;2024-06-14 11:01
ES06;PARTY;2.54;PROVISIONAL;2024-06-14 11:01
ES07;PARTY;4.91;PROVISIONAL;2024-06-14 11:01
ES08;PARTY;1.61;PROVISIONAL;2024-06-14 11:01
ES11;PARTY;4.59;PROVISIONAL;2024-06-14 11:01
ES90;PARTY;4.42;PROVISIONAL;2024-06-14 11:01
